cluster,week,year,n_days_per_cluster,n_days_per_time,p_days_per_cluster,wt,n_data
1,2019-01-13,2019,20485,57693,0.355069072504463,189.878980118905,57693
3,2019-01-13,2019,642,57693,0.0111278664656024,189.878980118905,57693
2,2019-01-13,2019,244,57693,0.00422928258194235,189.878980118905,57693
0,2019-01-20,2019,37026,61355,0.603471599706625,178.54597017358,61355
1,2019-01-20,2019,23344,61355,0.380474288974004,178.54597017358,61355
3,2019-01-20,2019,691,61355,0.0112623258088175,178.54597017358,61355
2,2019-01-20,2019,294,61355,0.00479178551055334,178.54597017358,61355
0,2019-01-27,2019,31815,49729,0.639767540067164,220.287719439361,49729
1,2019-01-27,2019,17217,49729,0.346216493394197,220.287719439361,49729
3,2019-01-27,2019,510,49729,0.0102555852721752,220.287719439361,49729
2,2019-01-27,2019,187,49729,0.00376038126646424,220.287719439361,49729
0,2019-02-03,2019,31530,49367,0.638685761743675,221.903052646505,49367
1,2019-02-03,2019,17090,49367,0.346182672635566,221.903052646505,49367
2,2019-02-03,2019,191,49367,0.00386898130329978,221.903052646505,49367
3,2019-02-03,2019,556,49367,0.011262584317459,221.903052646505,49367
0,2019-02-10,2019,32387,51151,0.633164552012668,214.163711364392,51151
1,2019-02-10,2019,17935,51151,0.350628531211511,214.163711364392,51151
3,2019-02-10,2019,626,51151,0.0122382749115364,214.163711364392,51151
2,2019-02-10,2019,203,51151,0.00396864186428418,214.163711364392,51151
0,2019-02-17,2019,30907,52171,0.592417243296084,209.976577025551,52171
1,2019-02-17,2019,20074,52171,0.384773149834199,209.976577025551,52171
3,2019-02-17,2019,807,52171,0.0154683636503038,209.976577025551,52171
2,2019-02-17,2019,383,52171,0.00734124321941308,209.976577025551,52171
0,2019-02-24,2019,32974,53149,0.620406780936612,206.112777286496,53149
1,2019-02-24,2019,19268,53149,0.3625279873563,206.112777286496,53149
3,2019-02-24,2019,634,53149,0.0119287286684604,206.112777286496,53149
2,2019-02-24,2019,273,53149,0.00513650303862726,206.112777286496,53149
0,2019-03-03,2019,31456,50750,0.619822660098522,215.855921182266,50750
1,2019-03-03,2019,18405,50750,0.362660098522167,215.855921182266,50750
3,2019-03-03,2019,600,50750,0.0118226600985222,215.855921182266,50750
2,2019-03-03,2019,289,50750,0.00569458128078818,215.855921182266,50750
0,2019-03-10,2019,30700,49726,0.617383260266259,220.301009532237,49726
1,2019-03-10,2019,18118,49726,0.36435667457668,220.301009532237,49726
3,2019-03-10,2019,654,49726,0.0131520733620239,220.301009532237,49726
2,2019-03-10,2019,254,49726,0.0051079917950368,220.301009532237,49726
0,2019-03-17,2019,31452,50397,0.624084766950414,217.367859197968,50397
1,2019-03-17,2019,18013,50397,0.357422068773935,217.367859197968,50397
2,2019-03-17,2019,267,50397,0.00529793440085719,217.367859197968,50397
3,2019-03-17,2019,665,50397,0.0131952298747941,217.367859197968,50397
0,2019-03-24,2019,31018,49539,0.626132945759906,221.132602595935,49539
1,2019-03-24,2019,17491,49539,0.353075354770989,221.132602595935,49539
2,2019-03-24,2019,321,49539,0.00647974323260462,221.132602595935,49539
3,2019-03-24,2019,709,49539,0.0143119562365005,221.132602595935,49539
0,2019-03-31,2019,29948,48877,0.612721730057082,224.127667410029,48877
1,2019-03-31,2019,17902,48877,0.366266342042269,224.127667410029,48877
3,2019-03-31,2019,669,48877,0.0136874194406367,224.127667410029,48877
2,2019-03-31,2019,358,48877,0.00732450846001187,224.127667410029,48877
1,2019-04-07,2019,18189,49460,0.367751718560453,221.485806712495,49460
0,2019-04-07,2019,30029,49460,0.607137080469066,221.485806712495,49460
3,2019-04-07,2019,786,49460,0.0158916295996765,221.485806712495,49460
2,2019-04-07,2019,456,49460,0.00921957137080469,221.485806712495,49460
1,2019-04-14,2019,18203,48586,0.374655250483678,225.470053101717,48586
0,2019-04-14,2019,28813,48586,0.593030914255135,225.470053101717,48586
3,2019-04-14,2019,913,48586,0.0187914213971103,225.470053101717,48586
2,2019-04-14,2019,657,48586,0.0135224138640761,225.470053101717,48586
1,2019-04-21,2019,20830,52105,0.399769695806544,210.242548699741,52105
0,2019-04-21,2019,29955,52105,0.574896842913348,210.242548699741,52105
3,2019-04-21,2019,816,52105,0.0156606851549755,210.242548699741,52105
2,2019-04-21,2019,504,52105,0.00967277612513195,210.242548699741,52105
1,2019-04-28,2019,21444,56607,0.378822407122794,193.52179059127,56607
0,2019-04-28,2019,33782,56607,0.596781316798276,193.52179059127,56607
3,2019-04-28,2019,919,56607,0.0162347412864133,193.52179059127,56607
2,2019-04-28,2019,462,56607,0.00816153479251683,193.52179059127,56607
1,2019-05-05,2019,23530,57036,0.412546461883723,192.066203801108,57036
0,2019-05-05,2019,32202,57036,0.564590784767515,192.066203801108,57036
3,2019-05-05,2019,867,57036,0.0152009257311172,192.066203801108,57036
2,2019-05-05,2019,437,57036,0.007661827617645,192.066203801108,57036
0,2019-05-12,2019,35271,59901,0.588821555566685,182.879885143821,59901
1,2019-05-12,2019,23181,59901,0.386988531076276,182.879885143821,59901
3,2019-05-12,2019,962,59901,0.0160598320562261,182.879885143821,59901
2,2019-05-12,2019,487,59901,0.00813008130081301,182.879885143821,59901
0,2019-05-19,2019,35470,59915,0.592005340899608,182.837152632897,59915
1,2019-05-19,2019,22871,59915,0.381724109154636,182.837152632897,59915
2,2019-05-19,2019,540,59915,0.00901276808812484,182.837152632897,59915
3,2019-05-19,2019,1034,59915,0.0172577818576316,182.837152632897,59915
1,2019-05-26,2019,24183,56950,0.424635645302897,192.356242317823,56950
0,2019-05-26,2019,31006,56950,0.544442493415277,192.356242317823,56950
2,2019-05-26,2019,731,56950,0.0128358208955224,192.356242317823,56950
3,2019-05-26,2019,1030,56950,0.0180860403863038,192.356242317823,56950
1,2019-06-02,2019,26757,83109,0.321950691260874,131.811091458205,83109
0,2019-06-02,2019,54550,83109,0.656366939801947,131.811091458205,83109
3,2019-06-02,2019,1175,83109,0.0141380596565956,131.811091458205,83109
2,2019-06-02,2019,627,83109,0.00754430928058333,131.811091458205,83109
1,2019-06-09,2019,31907,115008,0.277432874234836,95.251530328325,115008
0,2019-06-09,2019,80822,115008,0.702751112966055,95.251530328325,115008
3,2019-06-09,2019,1499,115008,0.0130338759042849,95.251530328325,115008
2,2019-06-09,2019,780,115008,0.00678213689482471,95.251530328325,115008
0,2019-06-16,2019,80831,115497,0.699853675853053,94.8482471406184,115497
1,2019-06-16,2019,32115,115497,0.278059170368062,94.8482471406184,115497
2,2019-06-16,2019,882,115497,0.00763656198862308,94.8482471406184,115497
3,2019-06-16,2019,1669,115497,0.014450591790263,94.8482471406184,115497
0,2019-06-23,2019,78716,113728,0.692142656162071,96.3235790658413,113728
1,2019-06-23,2019,32596,113728,0.286613674732696,96.3235790658413,113728
2,2019-06-23,2019,831,113728,0.00730690770962296,96.3235790658413,113728
3,2019-06-23,2019,1585,113728,0.0139367613956106,96.3235790658413,113728
0,2019-06-30,2019,82514,115900,0.711941328731665,94.5184469370147,115900
1,2019-06-30,2019,30886,115900,0.26648835202761,94.5184469370147,115900
2,2019-06-30,2019,850,115900,0.00733390854184642,94.5184469370147,115900
3,2019-06-30,2019,1650,115900,0.0142364106988783,94.5184469370147,115900
1,2019-07-07,2019,32317,119128,0.271279631992479,91.9572896380364,119128
0,2019-07-07,2019,84362,119128,0.708162648579679,91.9572896380364,119128
3,2019-07-07,2019,1649,119128,0.0138422537102948,91.9572896380364,119128
2,2019-07-07,2019,800,119128,0.00671546571754751,91.9572896380364,119128
1,2019-07-14,2019,32686,114314,0.285931731896356,95.8298021239743,114314
0,2019-07-14,2019,79101,114314,0.691962489283902,95.8298021239743,114314
3,2019-07-14,2019,1708,114314,0.0149413020277481,95.8298021239743,114314
2,2019-07-14,2019,819,114314,0.00716447679199398,95.8298021239743,114314
0,2019-07-21,2019,71324,108420,0.65784910533112,101.039365430732,108420
1,2019-07-21,2019,34570,108420,0.318852610219517,101.039365430732,108420
2,2019-07-21,2019,900,108420,0.00830105146651909,101.039365430732,108420
3,2019-07-21,2019,1626,108420,0.0149972329828445,101.039365430732,108420
1,2019-07-28,2019,31621,101744,0.310789825444252,107.66913036641,101744
0,2019-07-28,2019,67564,101744,0.664058814278975,107.66913036641,101744
3,2019-07-28,2019,1629,101744,0.0160107721339833,107.66913036641,101744
2,2019-07-28,2019,930,101744,0.00914058814278975,107.66913036641,101744
1,2019-08-04,2019,32436,102001,0.317996882383506,107.397849040696,102001
0,2019-08-04,2019,67065,102001,0.657493553984765,107.397849040696,102001
2,2019-08-04,2019,909,102001,0.0089116773364967,107.397849040696,102001
3,2019-08-04,2019,1591,102001,0.0155978862952324,107.397849040696,102001
1,2019-08-11,2019,31953,98639,0.323938807165523,111.058384614605,98639
0,2019-08-11,2019,64105,98639,0.649895071928953,111.058384614605,98639
3,2019-08-11,2019,1530,98639,0.0155111061547664,111.058384614605,98639
2,2019-08-11,2019,1051,98639,0.0106550147507578,111.058384614605,98639
0,2019-08-18,2019,67081,100426,0.66796447135204,109.082189871149,100426
1,2019-08-18,2019,30504,100426,0.303746041861669,109.082189871149,100426
3,2019-08-18,2019,1767,100426,0.0175950451078406,109.082189871149,100426
2,2019-08-18,2019,1074,100426,0.0106944416784498,109.082189871149,100426
1,2019-08-25,2019,31887,97870,0.3258097476244,111.931010524165,97870
0,2019-08-25,2019,63166,97870,0.645407172780219,111.931010524165,97870
2,2019-08-25,2019,1139,97870,0.0116378869929498,111.931010524165,97870
3,2019-08-25,2019,1678,97870,0.0171451926024318,111.931010524165,97870
0,2019-09-01,2019,96500,143951,0.670366999881904,76.1001174010601,143951
1,2019-09-01,2019,42814,143951,0.29742065008232,76.1001174010601,143951
3,2019-09-01,2019,2937,143951,0.0204027759445923,76.1001174010601,143951
2,2019-09-01,2019,1700,143951,0.0118095740911838,76.1001174010601,143951
1,2019-09-08,2019,59430,200542,0.296346899901268,54.625405152038,200542
0,2019-09-08,2019,132494,200542,0.660679558396745,54.625405152038,200542
3,2019-09-08,2019,5796,200542,0.0289016764568021,54.625405152038,200542
2,2019-09-08,2019,2822,200542,0.0140718652451855,54.625405152038,200542
2,2019-09-15,2019,3066,210062,0.0145956907960507,52.1497843493826,210062
3,2019-09-15,2019,6597,210062,0.0314050137578429,52.1497843493826,210062
0,2019-09-15,2019,138070,210062,0.657282135750398,52.1497843493826,210062
1,2019-09-15,2019,62329,210062,0.296717159695709,52.1497843493826,210062
0,2019-09-22,2019,135145,216970,0.622874130064064,50.4894132829424,216970
1,2019-09-22,2019,73439,216970,0.33847536525787,50.4894132829424,216970
2,2019-09-22,2019,2872,216970,0.013236853021155,50.4894132829424,216970
3,2019-09-22,2019,5514,216970,0.0254136516569111,50.4894132829424,216970
0,2019-09-29,2019,154212,241650,0.638162631905649,45.3328698530933,241650
1,2019-09-29,2019,78128,241650,0.323310573142975,45.3328698530933,241650
2,2019-09-29,2019,2710,241650,0.0112145665218291,45.3328698530933,241650
3,2019-09-29,2019,6600,241650,0.0273122284295469,45.3328698530933,241650
0,2019-10-06,2019,150659,237374,0.634690404172319,46.1494856218457,237374
1,2019-10-06,2019,78113,237374,0.329071423155021,46.1494856218457,237374
3,2019-10-06,2019,6383,237374,0.0268900553556834,46.1494856218457,237374
2,2019-10-06,2019,2219,237374,0.00934811731697659,46.1494856218457,237374
1,2019-10-13,2019,45566,140832,0.323548625312429,77.7855032947058,140832
0,2019-10-13,2019,92006,140832,0.653303226539423,77.7855032947058,140832
